"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.789917400E-2,2.926050186E0,4.189949989E0,8.892000198E0
5.039947200E-2,2.979000092E0,4.216950417E0,8.920950890E0
5.290200600E-2,3.019050121E0,4.276950359E0,8.935050011E0
5.540499600E-2,2.988000154E0,4.291050434E0,8.947050095E0
5.790776500E-2,2.964000225E0,4.360949993E0,8.932950020E0
6.041030500E-2,2.908950090E0,4.341000080E0,8.893950462E0
6.291307300E-2,2.811000109E0,4.348950386E0,8.806050301E0
6.541584700E-2,2.629050016E0,4.276950359E0,8.746050835E0
6.791861600E-2,2.562000036E0,4.171050072E0,8.727000237E0
7.042138500E-2,2.635950089E0,4.270050049E0,8.715000153E0
7.292408000E-2,2.631000042E0,4.321950436E0,8.755050659E0
7.542684700E-2,2.284050226E0,4.399050236E0,8.704950333E0
7.792961600E-2,2.173950195E0,4.372950077E0,8.667000771E0
8.043238500E-2,2.566950083E0,4.080000401E0,8.451000214E0
8.293515500E-2,2.682000160E0,3.946050167E0,8.308050156E0
8.543792400E-2,2.815950155E0,4.152000427E0,8.518050194E0
8.794046400E-2,2.847000122E0,4.308000088E0,8.698050499E0
9.044345700E-2,2.739000082E0,4.474950314E0,8.770050049E0
9.294622800E-2,2.629050016E0,4.537950039E0,8.820000648E0
9.544876700E-2,2.527950048E0,4.555050373E0,8.794050217E0
9.795154300E-2,2.500050068E0,4.404000282E0,8.583000183E0
1.004543120E-1,2.490000010E0,4.258049965E0,8.383950233E0
1.029570340E-1,2.586000204E0,4.240950108E0,8.346000671E0
1.054598030E-1,2.670000076E0,4.243050098E0,8.299950600E0
1.079625720E-1,2.442000151E0,4.270050049E0,8.230950356E0
1.104652810E-1,2.176050186E0,4.360949993E0,8.110950470E0
1.129680490E-1,2.478000164E0,4.284000397E0,7.981950283E0
1.154707980E-1,2.742000103E0,4.261950016E0,7.989000320E0
1.179735670E-1,2.812950134E0,4.288949966E0,7.936050415E0
