"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.789917400E-2,-2.135374993E-1,5.530250072E-1,1.968999952E-1
5.039946700E-2,-2.029500008E-1,5.520625114E-1,1.979999989E-1
5.290200600E-2,-1.901624948E-1,5.478000045E-1,2.011625022E-1
5.540499600E-2,-1.794375032E-1,5.392749906E-1,2.000624985E-1
5.790776500E-2,-1.634874940E-1,5.339124799E-1,1.947000027E-1
6.041030500E-2,-1.560624987E-1,5.264874697E-1,1.958000064E-1
6.291307300E-2,-1.486375034E-1,5.137000084E-1,1.947000027E-1
6.541584700E-2,-1.443749964E-1,4.966500103E-1,1.937374920E-1
6.791861600E-2,-1.401125044E-1,4.764375091E-1,1.937374920E-1
7.042138500E-2,-1.401125044E-1,4.562250078E-1,2.022625059E-1
7.292408000E-2,-1.390125006E-1,4.424749911E-1,2.065249979E-1
7.542684700E-2,-1.380500048E-1,4.254249930E-1,2.074874938E-1
7.792961600E-2,-1.390125006E-1,3.966875076E-1,2.256374955E-1
8.043238500E-2,-1.401125044E-1,3.679499924E-1,2.512125075E-1
8.293515500E-2,-1.443749964E-1,3.444375098E-1,2.554749846E-1
8.543792400E-2,-1.432749927E-1,3.190000057E-1,2.512125075E-1
8.794045900E-2,-1.358499974E-1,3.125374913E-1,2.447499931E-1
9.044345700E-2,-1.209999993E-1,3.115749955E-1,2.352624983E-1
9.294622800E-2,-1.071124971E-1,3.051125109E-1,2.267374992E-1
9.544876700E-2,-9.226249903E-2,2.934249938E-1,2.213750035E-1
9.795154300E-2,-7.837499678E-2,2.795374990E-1,2.224749923E-1
1.004543120E-1,-6.778749824E-2,2.550624907E-1,2.299000025E-1
1.029570340E-1,-6.668750197E-2,2.348500043E-1,2.384250015E-1
1.054598030E-1,-6.242499873E-2,2.242625058E-1,2.469500005E-1
1.079625720E-1,-6.132499874E-2,2.263250053E-1,2.543750107E-1
1.104652810E-1,-6.036249921E-2,2.188999951E-1,2.714250088E-1
1.129680490E-1,-6.242499873E-2,2.094125003E-1,3.053874969E-1
1.154707980E-1,-6.132499874E-2,2.242625058E-1,3.161124885E-1
1.179735670E-1,-5.499999970E-2,2.487374991E-1,3.150124848E-1
1.204763360E-1,-5.073750019E-2,2.615250051E-1,3.075875044E-1
1.229791060E-1,-4.963750020E-2,2.700499892E-1,3.033249974E-1
1.254816460E-1,-5.816249922E-2,2.732124925E-1,3.022249937E-1
1.279844130E-1,-7.204999775E-2,2.912249863E-1,3.129499853E-1
1.304871830E-1,-9.226249903E-2,3.381125033E-1,3.416875005E-1
1.329899520E-1,-1.220999956E-1,3.679499924E-1,3.810124993E-1
1.354927210E-1,-1.603250057E-1,3.902249932E-1,4.118124843E-1
1.379954900E-1,-1.912624985E-1,4.243249893E-1,4.235000014E-1
1.404982600E-1,-2.157374918E-1,4.456374943E-1,4.235000014E-1
1.430009340E-1,-2.508000135E-1,4.658499956E-1,4.171749949E-1
1.455037010E-1,-2.795374990E-1,4.828999937E-1,4.043875039E-1
1.480064700E-1,-2.997500002E-1,5.031124949E-1,3.906374872E-1
1.505092490E-1,-3.145999908E-1,5.116375089E-1,3.724874854E-1
1.530120180E-1,-3.295874894E-1,5.200250149E-1,3.628624976E-1
1.555147870E-1,-3.433375061E-1,5.168625116E-1,3.576374948E-1
1.580175560E-1,-3.572250009E-1,5.094375014E-1,3.533749878E-1
1.605200970E-1,-3.657499850E-1,4.998124838E-1,3.522749841E-1
1.630228550E-1,-3.657499850E-1,4.998124838E-1,3.480125070E-1
1.655256240E-1,-3.603875041E-1,4.923875034E-1,3.426499963E-1
1.680283930E-1,-3.594250083E-1,4.636499882E-1,3.374249935E-1
1.705311630E-1,-3.657499850E-1,4.391750097E-1,3.267000020E-1
1.730339320E-1,-3.657499850E-1,4.126375020E-1,3.118500113E-1
1.755367010E-1,-3.572250009E-1,3.796375096E-1,2.851749957E-1
1.780393950E-1,-3.466374874E-1,3.434749842E-1,2.479124963E-1
1.805422400E-1,-3.327499926E-1,3.051125109E-1,2.085874975E-1
1.830449340E-1,-3.136374950E-1,2.710124850E-1,1.649999917E-1
1.855477010E-1,-2.912249863E-1,2.348500043E-1,1.266375035E-1
1.880504840E-1,-2.721124887E-1,1.966249943E-1,9.473749995E-2
1.905532540E-1,-2.529999912E-1,1.551000029E-1,6.710000336E-2
1.930560230E-1,-2.391124964E-1,1.241625026E-1,5.115000159E-2
1.955587780E-1,-2.285249978E-1,9.226249903E-2,3.836249933E-2
1.980613190E-1,-2.220624983E-1,6.146249920E-2,3.189999983E-2
2.005640860E-1,-2.220624983E-1,4.441250116E-2,2.667500079E-2
2.030668840E-1,-2.177999914E-1,3.904999793E-2,2.241249941E-2
2.055696530E-1,-2.231625021E-1,3.272499889E-2,3.409999982E-2
2.080724230E-1,-2.359499931E-1,3.162499890E-2,5.953750014E-2
2.105752010E-1,-2.391124964E-1,5.609999970E-2,7.768750191E-2
2.130778950E-1,-2.433750033E-1,9.116250277E-2,8.084999770E-2
2.155806620E-1,-2.476374954E-1,1.156374961E-1,8.195000142E-2
2.180834320E-1,-2.433750033E-1,1.391499937E-1,8.084999770E-2
2.205862010E-1,-2.422749996E-1,1.561999917E-1,8.084999770E-2
2.230889700E-1,-2.454375029E-1,1.645874977E-1,8.084999770E-2
2.255915110E-1,-2.444749922E-1,1.688500047E-1,8.937499672E-2
2.280945090E-1,-2.487374991E-1,1.539999992E-1,1.117874980E-1
2.305970490E-1,-2.508000135E-1,1.603250057E-1,1.297999918E-1
2.331000470E-1,-2.508000135E-1,1.764124930E-1,1.351625025E-1
2.356026060E-1,-2.411749959E-1,1.870000064E-1,1.479499936E-1
2.381053740E-1,-2.294874936E-1,1.847999990E-1,1.585374922E-1
2.406081430E-1,-2.188999951E-1,1.784749925E-1,1.533125043E-1
2.431108830E-1,-2.018499970E-1,1.678874940E-1,1.457500011E-1
2.456136520E-1,-1.816374958E-1,1.571625024E-1,1.383250058E-1
2.481163470E-1,-1.634874940E-1,1.465750039E-1,1.212750003E-1
2.506191290E-1,-1.443749964E-1,1.295250058E-1,1.117874980E-1
2.531218830E-1,-1.209999993E-1,1.007874981E-1,1.010624990E-1
2.556246520E-1,-9.968750179E-2,6.668750197E-2,8.827500045E-2
2.581274220E-1,-8.483749628E-2,3.162499890E-2,7.452499866E-2
2.606302110E-1,-6.778749824E-2,6.049999967E-3,6.806249917E-2
2.631329800E-1,-5.073750019E-2,-1.842499897E-2,5.857500061E-2
2.656355210E-1,-4.015000165E-2,-4.179999977E-2,5.321250111E-2
2.681382880E-1,-2.736249939E-2,-6.421250105E-2,5.115000159E-2
2.706410570E-1,-1.883750036E-2,-8.442500234E-2,4.578749835E-2
2.731438260E-1,-1.347499993E-2,-1.046374962E-1,4.262499884E-2
2.756465960E-1,-1.347499993E-2,-1.194875017E-1,3.932499886E-2
2.781493650E-1,-1.567500085E-2,-1.365374923E-1,4.042499885E-2
2.806521340E-1,-2.199999988E-2,-1.493249983E-1,4.262499884E-2
2.831549030E-1,-2.419999987E-2,-1.652749926E-1,4.468749836E-2
2.856575690E-1,-3.258749843E-2,-1.780624986E-1,4.468749836E-2
2.881603360E-1,-4.111250117E-2,-1.843875051E-1,4.895000160E-2
2.906631050E-1,-5.279999971E-2,-1.929125041E-1,5.004999787E-2
2.931658880E-1,-6.352499872E-2,-2.003374994E-1,5.321250111E-2
2.956686580E-1,-7.521250099E-2,-2.067999989E-1,5.857500061E-2
2.981714460E-1,-8.579999954E-2,-2.088624984E-1,6.489999592E-2
3.006739860E-1,-9.542500228E-2,-2.088624984E-1,7.136250287E-2
3.031767530E-1,-1.071124971E-1,-2.120250016E-1,7.768750191E-2
3.056795440E-1,-1.178374961E-1,-2.120250016E-1,8.621250093E-2
3.081823130E-1,-1.252624989E-1,-2.153249979E-1,9.473749995E-2
3.106850820E-1,-1.326874942E-1,-2.227499932E-1,1.021625027E-1
3.131878510E-1,-1.401125044E-1,-2.344374955E-1,1.117874980E-1
3.156905460E-1,-1.443749964E-1,-2.440624982E-1,1.255374998E-1
3.181933130E-1,-1.528999954E-1,-2.546499968E-1,1.372250021E-1
3.206960820E-1,-1.571625024E-1,-2.685374916E-1,1.564749926E-1
3.231988510E-1,-1.656875014E-1,-2.844874859E-1,1.692624986E-1
3.257016210E-1,-1.731124967E-1,-3.004375100E-1,1.798499972E-1
3.282043900E-1,-1.795749962E-1,-3.152875006E-1,1.915374994E-1
3.307069300E-1,-1.890625060E-1,-3.343999982E-1,2.149125040E-1
3.332099320E-1,-2.007499933E-1,-3.536500037E-1,2.512125075E-1
3.357127040E-1,-2.124374956E-1,-3.451249897E-1,2.745875120E-1
3.382151940E-1,-2.231625021E-1,-3.366000056E-1,2.851749957E-1
3.407179610E-1,-2.294874936E-1,-3.419624865E-1,2.916375101E-1
3.432207310E-1,-2.380124927E-1,-3.557125032E-1,2.990624905E-1
3.457235050E-1,-2.487374991E-1,-3.844499886E-1,3.246375024E-1
3.482262740E-1,-2.635875046E-1,-3.961375058E-1,3.491125107E-1
3.507290430E-1,-2.721124887E-1,-3.940750062E-1,3.607999980E-1
3.532318130E-1,-2.774749994E-1,-3.961375058E-1,3.639625013E-1
3.557345070E-1,-2.838000059E-1,-4.014999866E-1,3.661625087E-1
3.582372740E-1,-2.943874896E-1,-4.089249969E-1,3.628624976E-1
3.607400430E-1,-3.051125109E-1,-4.196499884E-1,3.511750102E-1
