"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.290200600E-2,-6.010437012E-2,2.484655380E-1,5.409746170E-1
5.540499600E-2,-8.165788651E-2,2.681007385E-1,5.468435287E-1
5.790776500E-2,-1.056299210E-1,3.379893303E-1,5.327386856E-1
6.041030500E-2,-1.606800556E-1,3.180394173E-1,4.937391281E-1
6.291307300E-2,-2.586300373E-1,3.259897232E-1,4.058389664E-1
6.541584700E-2,-4.038598537E-1,2.735643387E-1,3.231801987E-1
6.791861600E-2,-4.699399471E-1,1.673378944E-1,3.039360046E-1
7.042138500E-2,-3.959898949E-1,2.663378716E-1,2.919359207E-1
7.292408000E-2,-4.009399414E-1,3.182382584E-1,3.319864273E-1
7.542684700E-2,-7.478897572E-1,3.953380585E-1,2.818861008E-1
7.792961600E-2,-8.579897881E-1,3.692378998E-1,2.439365387E-1
8.043238500E-2,-4.649899006E-1,7.628822327E-2,2.793598175E-2
8.293515500E-2,-3.499398232E-1,-5.766201019E-2,-1.150140762E-1
8.543792400E-2,-2.159898281E-1,1.482882500E-1,9.498596191E-2
8.794046400E-2,-1.258642673E-1,3.458230495E-1,2.343864441E-1
9.044345700E-2,-2.337105274E-1,5.126218796E-1,3.064022064E-1
9.294622800E-2,-3.349728584E-1,5.844407082E-1,3.491849899E-1
9.544876700E-2,-4.315643311E-1,6.052687168E-1,3.199195862E-1
9.795154300E-2,-4.549813271E-1,4.574511051E-1,1.057996750E-1
1.004543120E-1,-4.608006477E-1,3.144035339E-1,-9.607410431E-2
1.029570340E-1,-3.612747192E-1,3.000445366E-1,-1.365242004E-1
1.054598030E-1,-2.770166397E-1,3.017697334E-1,-1.824893951E-1
1.079625720E-1,-5.020065308E-1,3.315715790E-1,-2.538356781E-1
1.104652810E-1,-7.628414631E-1,4.283573627E-1,-3.783378601E-1
1.129680490E-1,-4.586827755E-1,3.543236256E-1,-5.094532967E-1
1.154707980E-1,-1.931633949E-1,3.354635239E-1,-5.044031143E-1
1.179735670E-1,-1.222057343E-1,3.620693684E-1,-5.571737289E-1
1.204763360E-1,-1.082427502E-1,3.151140213E-1,-6.373844147E-1
1.229791060E-1,-1.841428280E-1,3.322138786E-1,-7.374343872E-1
1.254816460E-1,-2.351429462E-1,4.492139816E-1,-8.593845367E-1
1.279844130E-1,-3.831927776E-1,5.881142616E-1,-9.963345528E-1
1.304871830E-1,-8.912429810E-1,5.351643562E-1,-1.173334599E0
1.329899520E-1,-7.421429157E-1,4.231142998E-1,-1.307434559E0
1.354927210E-1,-3.281428814E-1,3.551640511E-1,-1.365334511E0
1.379954900E-1,-2.124285698E-2,3.772139549E-1,-1.470334530E0
1.404982600E-1,2.170815468E-1,4.150080681E-1,-1.588173866E0
1.430009540E-1,3.031814098E-1,3.959579468E-1,-1.475224018E0
1.455037010E-1,3.421194553E-1,4.124448299E-1,-1.332184792E0
1.480064700E-1,2.827341557E-1,4.182312489E-1,-1.169655323E0
1.505092400E-1,1.308884621E-1,4.478132725E-1,-1.059952259E0
1.530120180E-1,5.404853821E-2,4.806129932E-1,-9.893717766E-1
1.555147870E-1,-8.497953415E-3,4.296808243E-1,-9.079065323E-1
1.580175560E-1,-1.248002052E-2,4.561803341E-1,-8.637185097E-1
1.605200970E-1,9.523963928E-2,4.073510170E-1,-5.212574005E-1
1.630228550E-1,3.264875412E-1,3.863425255E-1,-3.238325119E-1
1.655256240E-1,1.563875675E-1,3.672924042E-1,-6.397323608E-1
1.680283930E-1,2.733876705E-1,2.862925529E-1,-6.238327026E-1
1.705311630E-1,4.464876652E-1,2.522425652E-1,-5.038328171E-1
1.730339320E-1,7.593874931E-1,2.333421707E-1,-4.607830048E-1
1.755367010E-1,1.349487543E0,1.422924995E-1,-3.028326035E-1
1.780393950E-1,1.406487703E0,8.229231834E-2,-2.017326355E-1
1.805422400E-1,1.394487619E0,9.624242783E-2,-1.207323074E-1
1.830449340E-1,1.464188814E0,2.669289112E-1,-8.170604706E-2
1.855477010E-1,1.385534048E0,3.387403488E-1,-3.311824799E-2
1.880504700E-1,1.251343250E0,4.082756042E-1,-8.229541779E-2
1.905532540E-1,1.156471252E0,4.134671688E-1,-1.921854019E-1
1.930560230E-1,9.965345860E-1,4.097652435E-1,-2.582912445E-1
1.955587920E-1,8.241305351E-1,4.309201241E-1,-3.939285278E-1
1.980613190E-1,7.179520130E-1,3.726165295E-1,-4.981594086E-1
2.005640860E-1,6.269967556E-1,3.488852978E-1,-4.048576355E-1
2.030668550E-1,3.195838928E-1,3.740296364E-1,-5.121126175E-1
2.055696530E-1,-4.941606522E-2,3.329296112E-1,-7.030625343E-1
2.080724230E-1,8.628726006E-2,2.462084293E-1,-7.222480774E-1
2.105751920E-1,2.602748871E-1,2.019205093E-1,-6.358556747E-1
2.130778950E-1,3.065378666E-1,2.345726490E-1,-4.993972778E-1
2.155806620E-1,3.255879879E-1,2.005226612E-1,-3.793973923E-1
