"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.275437400E-2,-5.062500238E-1,1.980000114E1,-2.741250038E1
5.275804500E-2,3.562500179E-1,1.972500038E1,-2.761875153E1
7.276956700E-2,5.625000000E-1,2.036250114E1,-2.782500076E1
9.279120000E-2,2.100000143E0,2.160000038E1,-2.923125076E1
1.128182780E-1,1.368750095E0,2.038125038E1,-2.812500191E1
1.328522120E-1,2.081250191E0,2.122500038E1,-2.853750038E1
1.528773980E-1,2.137500048E0,2.060625076E1,-2.761875153E1
1.728911330E-1,2.325000048E0,2.013750076E1,-2.780625153E1
1.929055920E-1,3.525000095E0,2.146875000E1,-2.803125191E1
2.129089530E-1,3.131250143E0,2.171250153E1,-2.773125076E1
2.329169500E-1,3.112500191E0,2.090625000E1,-2.722500038E1
2.529175240E-1,3.787500143E0,2.081250000E1,-2.671875191E1
2.729116190E-1,3.093750238E0,2.071875000E1,-2.671875191E1
2.929125100E-1,3.300000191E0,2.043750000E1,-2.750625038E1
3.129074090E-1,3.056250095E0,2.143125153E1,-2.823750114E1
3.328994490E-1,3.037500143E0,2.218125153E1,-2.724375153E1
3.529004550E-1,3.000000000E0,2.090625000E1,-2.681250191E1
3.728963790E-1,3.037500143E0,2.154375076E1,-2.733750153E1
3.928893330E-1,3.431250095E0,2.227500153E1,-2.733750153E1
4.128901450E-1,2.325000048E0,2.133750153E1,-2.692500114E1
4.328878290E-1,2.681250095E0,2.355000114E1,-2.746875191E1
4.528934200E-1,2.137500048E0,2.225625038E1,-2.613750076E1
4.728939510E-1,1.668750048E0,2.298750114E1,-2.583750153E1
4.928904780E-1,4.125000238E-1,2.323125076E1,-2.664375114E1
5.128937470E-1,-5.625000224E-2,2.349375153E1,-2.645625114E1
5.328934150E-1,-1.725000024E0,2.298750114E1,-2.604375076E1
5.528889390E-1,-1.612500072E0,2.336250114E1,-2.686875153E1
5.728924890E-1,-3.562500238E0,2.377500153E1,-2.587500191E1
5.928919790E-1,-4.481250286E0,2.293125153E1,-2.535000038E1
6.128859640E-1,-4.931250095E0,2.430000114E1,-2.566875076E1
6.328894270E-1,-5.212500095E0,2.493750191E1,-2.488125038E1
6.528886520E-1,-5.531250000E0,2.531250191E1,-2.377500153E1
6.728834570E-1,-5.400000095E0,2.613750076E1,-2.439375114E1
6.928871270E-1,-4.443750381E0,2.653125191E1,-2.338125038E1
7.128852750E-1,-3.450000048E0,2.683125114E1,-2.340000153E1
7.328919710E-1,-2.793750048E0,2.619375038E1,-2.287500000E1
7.528927550E-1,-1.125000000E0,2.604375076E1,-2.377500153E1
