"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.203747300E-2,9.143749624E-2,-1.384624988E-1,-6.586249918E-2
3.453754000E-2,9.679999948E-2,-1.660999954E-1,-6.806249917E-2
3.704000200E-2,9.996250272E-2,-1.863124967E-1,-6.063750014E-2
3.954269400E-2,1.064250022E-1,-2.065249979E-1,-5.843750015E-2
4.204523200E-2,1.095874980E-1,-2.235749960E-1,-5.733750015E-2
4.454791400E-2,1.116499975E-1,-2.352624983E-1,-4.991250113E-2
4.705037700E-2,1.159124970E-1,-2.417249978E-1,-4.564999789E-2
4.955291400E-2,1.223749965E-1,-2.459875047E-1,-4.138749838E-2
5.205560600E-2,1.212750003E-1,-2.480500042E-1,-3.616249934E-2
5.455814500E-2,1.201749966E-1,-2.512125075E-1,-3.286249936E-2
5.706060600E-2,1.190750003E-1,-2.480500042E-1,-3.189999983E-2
5.956329600E-2,1.159124970E-1,-2.459875047E-1,-3.079999983E-2
6.206583700E-2,1.127500013E-1,-2.363625020E-1,-3.506249934E-2
6.456852100E-2,1.106875017E-1,-2.246749997E-1,-3.616249934E-2
6.707106200E-2,1.031249985E-1,-2.107875049E-1,-3.712499887E-2
6.957352300E-2,9.569999576E-2,-2.011625022E-1,-4.042499885E-2
7.207621400E-2,9.253749996E-2,-1.916749924E-1,-4.468749836E-2
7.457877700E-2,7.975000143E-2,-1.820500046E-1,-4.895000160E-2
7.708146700E-2,6.916250288E-2,-1.746249944E-1,-5.417500064E-2
7.958393100E-2,6.379999965E-2,-1.660999954E-1,-5.527500063E-2
8.208646700E-2,5.211250111E-2,-1.564749926E-1,-5.637500063E-2
8.458914400E-2,4.042499885E-2,-1.501500010E-1,-6.063750014E-2
8.709168400E-2,3.616249934E-2,-1.427250057E-1,-6.270000339E-2
8.959437400E-2,2.447500080E-2,-1.384624988E-1,-6.696250290E-2
9.209683800E-2,1.801249944E-2,-1.319999993E-1,-7.122500241E-2
9.459960900E-2,1.374999993E-2,-1.256749928E-1,-7.658749819E-2
9.710207300E-2,3.162499983E-3,-1.171500012E-1,-7.975000143E-2
9.960461100E-2,-1.099999994E-3,-1.097249985E-1,-8.401250094E-2
1.021073020E-1,-7.562499959E-3,-1.011999995E-1,-9.253749996E-2
1.046097640E-1,-1.498750038E-2,-9.803749621E-2,-1.021625027E-1
1.071123010E-1,-2.131249942E-2,-9.157499671E-2,-1.095874980E-1
1.096149930E-1,-2.873750031E-2,-8.415000141E-2,-1.138499975E-1
1.121175330E-1,-3.629999980E-2,-8.098749816E-2,-1.190750003E-1
1.146202430E-1,-4.152499884E-2,-8.304999769E-2,-1.190750003E-1
1.171227060E-1,-4.468749836E-2,-8.208750188E-2,-1.233374998E-1
1.196252430E-1,-4.895000160E-2,-8.415000141E-2,-1.223749965E-1
1.221279350E-1,-5.004999787E-2,-9.157499671E-2,-1.201749966E-1
1.246305030E-1,-5.115000159E-2,-9.473749995E-2,-1.181124970E-1
1.271331940E-1,-5.004999787E-2,-9.583749622E-2,-1.212750003E-1
1.296356570E-1,-4.895000160E-2,-9.377499670E-2,-1.223749965E-1
1.321381940E-1,-4.688749835E-2,-9.061250091E-2,-1.223749965E-1
1.346408760E-1,-4.688749835E-2,-8.635000139E-2,-1.244374961E-1
1.371434170E-1,-4.468749836E-2,-7.356250286E-2,-1.233374998E-1
1.396458780E-1,-4.042499885E-2,-6.599999964E-2,-1.266375035E-1
1.421485680E-1,-3.629999980E-2,-5.541250110E-2,-1.244374961E-1
1.446511600E-1,-3.093750030E-2,-4.372499883E-2,-1.266375035E-1
1.471538500E-1,-2.351249941E-2,-3.629999980E-2,-1.244374961E-1
1.496563140E-1,-1.814999990E-2,-2.983750030E-2,-1.266375035E-1
1.521588500E-1,-1.388750039E-2,-2.557500079E-2,-1.266375035E-1
1.546615620E-1,-3.299999982E-3,-2.034999989E-2,-1.318625063E-1
1.571641020E-1,5.224999972E-3,-2.034999989E-2,-1.329624951E-1
1.596665640E-1,1.278750040E-2,-1.924999990E-2,-1.308999956E-1
1.621692680E-1,2.337500080E-2,-1.814999990E-2,-1.308999956E-1
1.646718080E-1,3.079999983E-2,-2.131249942E-2,-1.329624951E-1
1.671744990E-1,4.248749837E-2,-3.093750030E-2,-1.308999956E-1
1.696770390E-1,4.991250113E-2,-4.262499884E-2,-1.318625063E-1
1.721797290E-1,5.953750014E-2,-5.761250108E-2,-1.308999956E-1
1.746822700E-1,7.438749820E-2,-7.356250286E-2,-1.308999956E-1
1.771847650E-1,8.291249722E-2,-9.157499671E-2,-1.318625063E-1
