"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.453754000E-2,-1.659333706E-2,7.674886584E-1,2.897644043E-1
3.704000200E-2,-4.215180874E-2,7.873021364E-1,2.700033188E-1
3.954269400E-2,4.069328308E-2,7.728734612E-1,2.762689590E-1
4.204523200E-2,3.822541237E-2,7.223383188E-1,2.923784256E-1
4.454791400E-2,5.231547356E-2,6.472601891E-1,2.683753967E-1
4.705037700E-2,7.250785828E-2,6.375437975E-1,2.485933304E-1
4.955291400E-2,1.516267061E-1,5.868770480E-1,1.936759949E-1
5.205560600E-2,2.294946909E-1,5.137925744E-1,1.117458344E-1
5.455814500E-2,2.982418537E-1,4.608178735E-1,1.249036789E-1
5.706060600E-2,3.149795532E-1,4.558193684E-1,1.019220352E-1
5.956329600E-2,3.377004266E-1,3.737746179E-1,7.294464111E-2
6.206583700E-2,3.714995980E-1,3.375432193E-1,3.004074097E-3
6.456852100E-2,3.194525242E-1,3.156105578E-1,1.525878906E-5
6.707106200E-2,3.646320105E-1,2.698668838E-1,2.825737000E-2
6.957352300E-2,3.832315207E-1,2.292032093E-1,-5.653285980E-2
7.207621400E-2,3.731325865E-1,2.058541030E-1,-1.003322601E-1
7.457877700E-2,4.161583781E-1,9.071703255E-2,-8.904838562E-2
7.708146700E-2,2.434872389E-1,1.627144665E-1,-4.471683502E-2
7.958393100E-2,2.289991379E-1,1.441305578E-1,-1.243915558E-1
8.208646700E-2,2.037620544E-1,1.955107152E-1,-9.588813782E-2
8.458914400E-2,1.192011833E-1,3.053672910E-1,-1.189851761E-1
8.709168400E-2,1.141468287E-1,3.499997556E-1,-9.695911407E-2
8.959437400E-2,1.464926004E-1,3.658331931E-1,-7.856082916E-2
9.209683800E-2,4.299879074E-2,3.940071464E-1,-6.192970276E-2
9.459960900E-2,7.760155201E-2,4.330493212E-1,-5.038261414E-2
9.710207300E-2,1.725225449E-1,4.186340570E-1,-9.918689728E-2
9.960461100E-2,2.821594477E-1,3.971640170E-1,-1.142387390E-1
1.021073020E-1,2.862272859E-1,3.940273523E-1,-1.816730499E-1
1.046097640E-1,2.573745251E-1,3.750376999E-1,-1.940231323E-1
1.071123010E-1,2.157410383E-1,4.063274860E-1,-2.183494568E-1
1.096149930E-1,1.704059839E-1,4.407578111E-1,-2.376995087E-1
1.121175330E-1,9.412419796E-2,4.652615786E-1,-2.229604721E-1
1.146202430E-1,6.309998035E-2,4.798720479E-1,-2.232055664E-1
1.171227060E-1,6.800401211E-2,4.756474197E-1,-1.853570938E-1
1.196252430E-1,8.085024357E-2,4.453860521E-1,-1.526060104E-1
1.221279350E-1,9.750401974E-2,4.481491446E-1,-1.239175797E-1
1.246305030E-1,1.361261606E-1,4.609970152E-1,-1.501550674E-1
1.271331940E-1,1.045249701E-1,4.070529938E-1,-1.654415131E-1
1.296356570E-1,1.550359726E-1,3.870646954E-1,-2.008380890E-1
1.321381940E-1,1.713879108E-1,3.641093671E-1,-2.281274796E-1
1.346408760E-1,1.618084908E-1,3.905684352E-1,-2.425851822E-1
1.371434170E-1,9.677648544E-2,3.729688227E-1,-2.786083221E-1
1.396458780E-1,4.688978195E-2,3.838747442E-1,-2.288694382E-1
1.421485680E-1,3.619313240E-2,4.006109238E-1,-2.070102692E-1
1.446511600E-1,7.561743259E-2,3.870088160E-1,-1.521348953E-1
1.471538500E-1,6.643438339E-2,3.873386979E-1,-1.402778625E-1
1.496563140E-1,4.062175751E-2,3.813226521E-1,-1.164770126E-1
1.521588500E-1,6.942510605E-2,4.062401652E-1,-8.052253723E-2
1.546615620E-1,8.549070358E-2,4.437585473E-1,-8.364391327E-2
1.571641020E-1,9.664928913E-2,4.150581360E-1,-4.086971283E-2
1.596665640E-1,4.733610153E-2,4.583939314E-1,4.973411560E-3
1.621692680E-1,9.342670441E-3,4.735933244E-1,3.386974335E-2
1.646718080E-1,-5.599904060E-2,4.431952238E-1,9.783267975E-2
1.671744990E-1,-5.651807785E-2,4.448121786E-1,1.917829514E-1
1.696770390E-1,-5.728423595E-2,4.261586666E-1,2.435474396E-1
1.721797290E-1,-6.042373180E-2,4.124085903E-1,2.244739532E-1
1.746822700E-1,-2.888250351E-2,4.054091573E-1,1.961908340E-1
1.771847650E-1,-6.774544716E-3,4.407696128E-1,1.669416428E-1
1.796874560E-1,-6.190121174E-2,4.598962665E-1,1.396007538E-1
1.821899960E-1,-7.339370251E-2,4.308238328E-1,9.211826324E-2
1.846926870E-1,-4.734098911E-2,4.393777847E-1,5.267906189E-2
1.871951500E-1,-4.652476311E-2,4.635692835E-1,4.724597931E-2
1.896977060E-1,-3.802084923E-2,4.265461564E-1,1.177501678E-2
1.922003980E-1,-1.055086851E-1,4.533750415E-1,8.258819580E-3
1.947029380E-1,-9.330070019E-2,4.545978308E-1,-7.628917694E-2
1.972054000E-1,-3.912234306E-2,4.749395847E-1,-6.052684784E-2
1.997080560E-1,-4.650688171E-2,4.780767858E-1,-5.918121338E-2
2.022105970E-1,-4.330098629E-2,4.334110916E-1,-5.619621277E-2
2.047132870E-1,-5.070102215E-2,4.897614121E-1,-7.569599152E-2
2.072158270E-1,-1.167982817E-1,5.080699921E-1,-9.126281738E-2
2.097182840E-1,-9.898924828E-2,5.322952271E-1,-6.092548370E-2
2.122209740E-1,-1.316659451E-1,5.383832455E-1,-5.334472656E-2
2.147235150E-1,-7.059037685E-2,5.031743646E-1,-1.788043976E-2
2.172262050E-1,-5.145359039E-2,4.824190736E-1,-2.141761780E-2
2.197287030E-1,-2.659881115E-2,4.784842730E-1,5.030632019E-3
2.222314700E-1,2.192604542E-2,4.850314558E-1,3.040599823E-2
2.247339330E-1,1.150617599E-1,4.734843075E-1,5.768775940E-3
2.272364720E-1,1.100362539E-1,4.460305572E-1,7.079124451E-3
2.297389280E-1,1.546774507E-1,4.032436907E-1,-2.573966980E-3
2.322416960E-1,1.571880579E-1,3.959437609E-1,-2.723312378E-2
2.347441590E-1,6.112730503E-2,4.297345877E-1,-5.485248566E-2
2.372468490E-1,-1.583909988E-2,4.349451065E-1,-1.073417664E-1
2.397493800E-1,-8.585166931E-2,4.516708255E-1,-5.797767639E-2
2.422520700E-1,-1.284674406E-1,4.919941723E-1,3.406524658E-3
2.447546110E-1,-2.359758615E-1,4.978313446E-1,3.671646118E-4
2.472570720E-1,-2.345789671E-1,5.059103370E-1,-1.152992249E-2
2.497597830E-1,-1.682151556E-1,4.353823364E-1,6.489181519E-2
2.522623230E-1,-7.916641235E-2,4.100750089E-1,1.114244461E-1
2.547650130E-1,-3.246057034E-2,4.067228436E-1,1.277885437E-1
2.572674770E-1,9.191024303E-2,3.214665055E-1,7.510471344E-2
2.597700270E-1,1.598939300E-1,2.364533544E-1,6.649684906E-2
2.622727200E-1,1.987264156E-1,1.926352084E-1,2.928066254E-2
2.647752600E-1,1.220653057E-1,1.517947465E-1,-3.484725952E-2
2.672779500E-1,8.859902620E-2,1.308302730E-1,-1.027460098E-1
2.697804140E-1,3.553515673E-2,7.948300987E-2,-9.076309204E-2
2.722829510E-1,1.511192322E-2,7.588247210E-2,-5.368709564E-2
2.747856430E-1,1.000106335E-2,8.746333420E-2,-7.274436951E-2
2.772881830E-1,4.319125414E-2,8.540425450E-2,-4.445075989E-2
