"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.933679400E-2,-3.748050213E0,2.785050154E0,9.670050621E0
5.183664200E-2,-3.619050264E0,2.779950142E0,9.462000847E0
5.433910100E-2,-3.405000210E0,2.764950037E0,9.418950081E0
5.684156300E-2,-3.235050201E0,2.773050070E0,8.989950180E0
5.934404600E-2,-3.207000256E0,2.758050203E0,8.935050011E0
6.184650800E-2,-3.199950218E0,2.670000076E0,8.884950638E0
6.434896900E-2,-3.244950056E0,2.566950083E0,8.752950668E0
6.685144800E-2,-3.469950199E0,2.530950069E0,8.449049950E0
6.935390900E-2,-3.693000078E0,2.595000029E0,8.149050713E0
7.185637100E-2,-3.673950195E0,2.667000055E0,7.977000237E0
7.435883200E-2,-3.556050062E0,2.694000244E0,8.026950836E0
7.686129400E-2,-3.283050060E0,2.677050114E0,8.125050545E0
7.936375600E-2,-3.019950151E0,2.590950012E0,8.152050018E0
8.186624600E-2,-2.866950035E0,2.533050060E0,8.038949966E0
8.436870800E-2,-2.869050026E0,2.521050215E0,7.837950230E0
8.687119700E-2,-2.934000254E0,2.503950119E0,7.630050182E0
8.937365900E-2,-3.022050142E0,2.500050068E0,7.471950531E0
9.187612000E-2,-3.111000061E0,2.514000177E0,7.347000122E0
9.437856000E-2,-3.208950043E0,2.548050165E0,7.203000546E0
9.688102100E-2,-3.244950056E0,2.545050144E0,7.012050152E0
9.938348200E-2,-3.322050095E0,2.551950216E0,6.958950520E0
1.018859370E-1,-3.409950256E0,2.566950083E0,6.969000340E0
1.043883990E-1,-3.421950102E0,2.581050158E0,7.066950321E0
1.068908610E-1,-3.384000063E0,2.536050081E0,7.219950199E0
1.093933410E-1,-3.334050179E0,2.551950216E0,7.396950245E0
1.118958030E-1,-3.319050074E0,2.569050074E0,7.603050232E0
1.143982650E-1,-3.384000063E0,2.551950216E0,7.855050564E0
1.169007360E-1,-3.513000250E0,2.503950119E0,8.176050186E0
1.194031970E-1,-3.661950111E0,2.425050020E0,8.587950706E0
1.219056580E-1,-3.774000168E0,2.353950024E0,8.940000534E0
1.244081190E-1,-3.873000145E0,2.290950060E0,9.316050529E0
1.269105800E-1,-4.042950153E0,2.209950209E0,9.667950630E0
1.294130410E-1,-5.226000309E0,1.285050035E0,1.029795074E1
1.319155030E-1,-4.681950092E0,1.537050128E0,1.045800018E1
1.344179650E-1,-3.657000065E0,2.169000149E0,1.062795067E1
1.369204270E-1,-3.175950050E0,2.593050241E0,1.120800018E1
1.394228880E-1,-3.070050240E0,2.782050133E0,1.158405018E1
1.419253500E-1,-3.328950167E0,2.812950134E0,1.172295094E1
1.444278310E-1,-3.544050217E0,2.686050177E0,1.187595081E1
1.469302920E-1,-3.714000225E0,2.530950069E0,1.206000042E1
1.494327530E-1,-3.904050112E0,2.397000074E0,1.203195095E1
1.519352410E-1,-4.054950237E0,2.308050156E0,1.187100029E1
1.544377020E-1,-4.150050163E0,2.253000021E0,1.165095043E1
1.569401630E-1,-4.102050304E0,2.236050129E0,1.134900093E1
1.594426250E-1,-3.967950106E0,2.169000149E0,1.084605026E1
1.619450870E-1,-3.850950241E0,2.131050110E0,1.024305058E1
1.644475490E-1,-3.850950241E0,2.085000038E0,9.721050262E0
1.669500590E-1,-3.874950171E0,2.053950071E0,9.190950394E0
1.694525210E-1,-3.976050138E0,2.008949995E0,8.806050301E0
1.719549830E-1,-4.042950153E0,1.968000054E0,8.503950119E0
1.744574440E-1,-4.045050144E0,1.963050127E0,8.266950607E0
1.769599050E-1,-3.985050201E0,1.981950045E0,8.104050636E0
1.794623660E-1,-3.882000208E0,1.948950052E0,8.017950058E0
1.819648310E-1,-3.760050297E0,1.915050149E0,7.951050282E0
1.844672920E-1,-3.508050203E0,1.903050065E0,7.845000267E0
1.869697540E-1,-3.372000217E0,1.858050108E0,7.825950146E0
1.894722210E-1,-3.226050138E0,1.822050095E0,7.831050396E0
1.919746830E-1,-3.159000158E0,1.792950034E0,7.777950287E0
1.944771450E-1,-3.154050112E0,1.824000120E0,7.773000240E0
1.969796170E-1,-3.175950050E0,1.828950047E0,7.800000191E0
1.994820790E-1,-3.135000229E0,1.798050046E0,7.843050480E0
2.019844630E-1,-3.159000158E0,1.779000044E0,7.833000183E0
2.044869130E-1,-3.208950043E0,1.792950034E0,7.855050564E0
2.069894510E-1,-3.262050152E0,1.812000036E0,7.920000553E0
2.094918380E-1,-3.268950224E0,1.908000112E0,8.038949966E0
2.119943650E-1,-3.276000261E0,1.956000090E0,8.146950722E0
2.144967520E-1,-3.307050228E0,1.969950080E0,8.236050606E0
2.169992890E-1,-3.325950146E0,2.065950155E0,8.290950775E0
2.195016460E-1,-2.895000219E0,2.334000111E0,8.194950104E0
2.220041830E-1,-3.385950089E0,2.254950047E0,8.298000336E0
2.245065690E-1,-4.066950321E0,2.109000206E0,8.551950455E0
2.270091060E-1,-4.276950359E0,2.119050026E0,8.767050743E0
2.295115690E-1,-4.267950058E0,2.209950209E0,8.755050659E0
2.320140310E-1,-4.174050331E0,2.236050129E0,8.787000656E0
2.345164920E-1,-3.978000164E0,2.278950214E0,8.827050209E0
2.370188770E-1,-3.790950298E0,2.286000013E0,8.775000572E0
2.395214130E-1,-3.829050064E0,2.281949997E0,8.731050491E0
2.420238100E-1,-3.918000221E0,2.269950151E0,8.623950005E0
2.445263460E-1,-4.014000416E0,2.215050220E0,8.566050529E0
2.470288100E-1,-3.954000235E0,2.206950188E0,8.422050476E0
2.495312580E-1,-3.997050285E0,2.193000078E0,8.317049980E0
2.520337190E-1,-4.093050003E0,2.149950027E0,8.239950180E0
2.545361810E-1,-4.134000301E0,2.124000072E0,8.250000000E0
2.570386420E-1,-4.171950340E0,2.097000122E0,8.242950439E0
2.595411030E-1,-4.054950237E0,2.185950041E0,8.101950645E0
2.620435590E-1,-3.997050285E0,2.164050102E0,7.879050255E0
2.645460200E-1,-4.054950237E0,2.095050097E0,7.828050137E0
2.670484810E-1,-4.038000107E0,1.996950150E0,7.813950539E0
2.695508680E-1,-4.062000275E0,1.888950109E0,7.828050137E0
2.720534040E-1,-3.882000208E0,1.827000141E0,7.797000408E0
2.745558680E-1,-3.643050194E0,1.786050081E0,7.741950512E0
2.770583300E-1,-3.529950142E0,1.708950043E0,7.699050426E0
2.795607140E-1,-3.748050213E0,1.587000132E0,7.821000576E0
2.820631740E-1,-4.057050228E0,1.543950081E0,8.011050224E0
2.845656350E-1,-4.111950397E0,1.594050050E0,8.116050720E0
2.870681020E-1,-4.171950340E0,1.642050028E0,8.188050270E0
2.895705630E-1,-4.204950333E0,1.681050062E0,8.190000534E0
2.920730390E-1,-4.083000183E0,1.711950064E0,8.221050262E0
2.945755000E-1,-4.057050228E0,1.774050117E0,8.257050514E0
2.970779620E-1,-4.122000217E0,1.711950064E0,8.335950851E0
2.995804530E-1,-4.071000099E0,1.678050041E0,8.439000130E0
3.020829150E-1,-4.123950005E0,1.690050125E0,8.502000809E0
3.045853770E-1,-4.180950165E0,1.675950050E0,8.563950539E0
3.070878390E-1,-4.131000042E0,1.675950050E0,8.690999985E0
3.095903010E-1,-3.973050117E0,1.702050090E0,8.710050583E0
3.120927620E-1,-3.946950197E0,1.696950078E0,8.650050163E0
3.145952230E-1,-3.967950106E0,1.654050112E0,8.614050865E0
3.170976840E-1,-3.985050201E0,1.633050084E0,8.524950027E0
3.196001450E-1,-3.973050117E0,1.534050107E0,8.414999962E0
3.221026060E-1,-3.853050232E0,1.503000021E0,8.212050438E0
3.246050680E-1,-3.769950151E0,1.465050101E0,8.074950218E0
3.271076060E-1,-3.745950222E0,1.435950041E0,7.972050190E0
3.296099930E-1,-3.724050283E0,1.366950035E0,7.903050423E0
3.321124580E-1,-3.619050264E0,1.348050117E0,7.825950146E0
3.346149190E-1,-3.577950239E0,1.306950092E0,7.833000183E0
3.371173810E-1,-3.505950212E0,1.276050091E0,7.809000492E0
3.396198130E-1,-3.535050154E0,1.281000018E0,7.788000584E0
3.421222650E-1,-3.588000059E0,1.261050105E0,7.783050537E0
3.446248030E-1,-3.736050129E0,1.261050105E0,7.759050369E0
3.471271900E-1,-3.832050085E0,1.297050118E0,7.833000183E0
3.496297260E-1,-3.726000071E0,1.357050061E0,7.837950230E0
3.521321180E-1,-3.766950130E0,1.446000099E0,7.771050453E0
3.546346540E-1,-3.940050125E0,1.465050101E0,7.896000385E0
3.571370410E-1,-4.054950237E0,1.506000042E0,8.113950729E0
3.596395110E-1,-4.312950134E0,1.597050071E0,8.499000549E0
3.621419720E-1,-4.339950085E0,1.708950043E0,8.836950302E0
3.646444340E-1,-4.255949974E0,1.798050046E0,9.001950264E0
3.671468950E-1,-4.288949966E0,1.846050143E0,8.997000694E0
3.696493570E-1,-4.360949993E0,1.851000071E0,9.000000000E0
3.721518190E-1,-4.264950275E0,1.815000057E0,8.959050179E0
3.746542810E-1,-4.228950024E0,1.767000079E0,8.952000618E0
3.771567430E-1,-4.239000320E0,1.716000080E0,9.004050255E0
3.796592050E-1,-4.177050114E0,1.648950100E0,8.968950272E0
3.821616670E-1,-4.057050228E0,1.555950046E0,8.854050636E0
3.846641320E-1,-3.964050293E0,1.351950049E0,8.851050377E0
3.871665930E-1,-3.777000189E0,1.089000106E0,8.857950211E0
3.896690400E-1,-3.733950138E0,7.800000310E-1,8.868000031E0
3.921715010E-1,-3.685950279E0,4.759500325E-1,8.868000031E0
3.946739620E-1,-3.625950098E0,9.495000541E-2,9.000000000E0
3.971764480E-1,-3.682950258E0,-2.869500220E-1,9.409049988E0
3.996789100E-1,-3.801000118E0,-6.180000305E-1,9.487950325E0
4.021813820E-1,-3.898950100E0,-6.679500341E-1,9.214950562E0
4.046838440E-1,-3.906000137E0,-3.709500134E-1,8.995050430E0
4.071863060E-1,-3.916050196E0,4.050000105E-3,8.707050323E0
4.096887810E-1,-3.913050175E0,3.940500319E-1,8.346000671E0
4.121912420E-1,-3.940050125E0,7.870500088E-1,8.092050552E0
4.146937030E-1,-3.910950184E0,1.015050054E0,7.623000145E0
4.171961640E-1,-3.769950151E0,1.141950011E0,7.318050385E0
4.196986260E-1,-3.781950235E0,1.278000116E0,7.402050495E0
4.222010880E-1,-3.741000175E0,1.285050035E0,7.531950474E0
4.247035500E-1,-3.616050243E0,1.113000035E0,7.879050255E0
4.272060120E-1,-3.523050070E0,1.029000044E0,8.212050438E0
4.297084740E-1,-3.535050154E0,9.120000601E-1,8.310000420E0
4.322109350E-1,-3.487050056E0,7.800000310E-1,8.664000511E0
4.347134060E-1,-3.445950270E0,6.460500360E-1,9.012000084E0
4.372158670E-1,-3.432000160E0,5.959500074E-1,9.151050568E0
4.397183280E-1,-3.436950207E0,5.209500194E-1,9.313050270E0
4.422207900E-1,-3.465000153E0,4.830000103E-1,9.333000183E0
4.447232520E-1,-2.866950035E0,3.780000210E-1,9.160050392E0
4.472257180E-1,-2.305950165E0,1.930500120E-1,9.037950516E0
4.497281800E-1,-2.694000244E0,-3.400500119E-1,9.214950562E0
4.522306420E-1,-2.662950039E0,-1.140000105E0,9.586050034E0
4.547331030E-1,-3.348000050E0,-2.730000019E-1,9.838050842E0
4.572355640E-1,-3.733950138E0,8.830500245E-1,9.582000732E0
4.597380250E-1,-4.588950157E0,1.936950088E0,9.739950180E0
4.622404860E-1,-5.065050125E0,2.409000158E0,9.778050423E0
4.647429470E-1,-4.624950409E0,2.346000195E0,9.427950859E0
4.672454090E-1,-3.978000164E0,1.867050052E0,8.787000656E0
4.697478710E-1,-3.337950230E0,1.363950014E0,7.861950397E0
4.722503190E-1,-2.731950045E0,9.280500412E-1,6.934950352E0
4.747527810E-1,-2.545950174E0,8.350500464E-1,6.493950367E0
4.772552430E-1,-2.710950136E0,1.036050081E0,6.411000252E0
4.797576910E-1,-2.365950108E0,1.350000024E0,6.655050278E0
4.822601520E-1,-1.231050014E0,1.338000059E0,6.949950218E0
4.847626030E-1,-2.509500086E-1,9.619500637E-1,6.577950478E0
4.872650640E-1,5.500500202E-1,2.125950098E0,6.616950512E0
4.897675060E-1,2.119500041E-1,2.799000025E0,6.312000275E0
4.922699670E-1,-1.480050087E0,3.136950254E0,5.730000496E0
4.947722000E-1,-2.260950089E0,3.261000156E0,5.041050434E0
4.972748910E-1,-2.941050053E0,3.181950092E0,4.303050041E0
4.997771230E-1,-3.082050085E0,2.856000185E0,3.553050280E0
5.022798140E-1,-3.112950087E0,2.490000010E0,2.758050203E0
5.047822770E-1,-3.139950037E0,2.107050180E0,2.047049999E0
5.072847390E-1,-3.295050144E0,1.716000080E0,1.750050068E0
5.097872000E-1,-3.382050276E0,1.441050053E0,7.540500164E-1
5.122896620E-1,-3.139950037E0,1.414950013E0,-1.078050017E0
5.147921320E-1,-2.649000168E0,1.326000094E0,-1.441950083E0
5.172945940E-1,-2.401950121E0,1.129950047E0,-1.566000104E0
5.197970550E-1,-2.136000156E0,1.033950090E0,-1.627950072E0
5.222995310E-1,-1.717050076E0,7.609500289E-1,-1.867950082E0
5.248019920E-1,-8.209500313E-1,-3.900000155E-1,-2.850000143E0
5.273044530E-1,-9.480000734E-1,-6.420000196E-1,-3.259050131E0
5.298068900E-1,-1.357950091E0,-6.270000339E-1,-2.260950089E0
5.323093520E-1,-1.417950034E0,-9.480000734E-1,-1.525050044E0
5.348118140E-1,-1.695000052E0,-1.081950068E0,-9.630000591E-1
5.373142760E-1,-1.755000114E0,-1.252050042E0,-7.639500499E-1
5.398167480E-1,-1.710000038E0,-1.501050115E0,-6.850500107E-1
5.423192090E-1,-1.741050124E0,-1.683000088E0,-5.820000172E-1
5.448216700E-1,-1.746000051E0,-1.983000040E0,-4.720500112E-1
5.473241310E-1,-1.753050089E0,-2.242050171E0,-1.440000087E-1
5.498265920E-1,-1.818000078E0,-2.448000193E0,3.750000298E-1
5.523288250E-1,-1.909050107E0,-2.733000040E0,1.102950096E0
5.548312840E-1,-2.074050188E0,-3.034050226E0,1.597050071E0
5.573337460E-1,-2.076000214E0,-3.325950146E0,2.004000187E0
5.598362070E-1,-1.858050108E0,-3.718950272E0,2.631000042E0
5.623386690E-1,-1.558950067E0,-4.023000240E0,3.223050117E0
5.648411300E-1,-1.057950020E0,-4.342050076E0,3.787950277E0
5.673435920E-1,-6.079500318E-1,-4.701000214E0,4.468050003E0
5.698460540E-1,-3.600000218E-2,-5.101050377E0,5.010000229E0
5.723485160E-1,4.969500303E-1,-5.500950336E0,5.560050488E0
5.748509780E-1,9.790500402E-1,-5.856000423E0,6.327000141E0
5.773534400E-1,1.306950092E0,-6.150000095E0,7.423950195E0
5.798561210E-1,1.459950089E0,-6.427950382E0,8.377050400E0
5.823583440E-1,1.369050026E0,-6.580950260E0,9.196050644E0
5.848610350E-1,4.810500145E-1,-6.568950176E0,1.011795044E1
5.873632670E-1,-9.240000248E-1,-6.442050457E0,1.102605057E1
5.898659530E-1,-2.325000048E0,-6.282000065E0,1.136400032E1
5.923681850E-1,-3.223050117E0,-6.301050186E0,1.119600010E1
5.948708760E-1,-3.700050116E0,-6.435000420E0,1.067595005E1
5.973731090E-1,-3.697950125E0,-6.598050117E0,1.044405079E1
5.998757990E-1,-3.516000271E0,-6.700950146E0,1.043400097E1
6.023782620E-1,-3.520050049E0,-6.511950493E0,9.948000908E0
6.048804930E-1,-3.564000130E0,-6.078000069E0,9.238950729E0
6.073831840E-1,-3.549000263E0,-5.547000408E0,8.554050446E0
6.098854160E-1,-3.589950085E0,-5.022000313E0,7.987050533E0
6.123881070E-1,-3.681000233E0,-4.620000362E0,7.327950478E0
6.148903440E-1,-3.894000292E0,-4.327950001E0,6.607050419E0
6.173928040E-1,-4.093050003E0,-4.107000351E0,5.998950481E0
6.198952690E-1,-4.251000404E0,-3.964050293E0,5.410050392E0
6.223977310E-1,-4.435050011E0,-3.916050196E0,4.863000393E0
6.249001930E-1,-4.645950317E0,-3.898950100E0,4.441950321E0
6.274026400E-1,-4.881000042E0,-3.967950106E0,4.116000175E0
6.299051020E-1,-5.110950470E0,-4.126049995E0,3.834000111E0
