"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.933679400E-2,-4.867500067E-2,8.079500198E-1,6.098124981E-1
5.183664200E-2,-3.272499889E-2,7.782499790E-1,6.598625183E-1
5.433910100E-2,-1.457499992E-2,7.473124862E-1,7.034500241E-1
5.684158500E-2,-6.874999963E-4,7.239375114E-1,7.418124676E-1
5.934404600E-2,1.374999993E-3,7.079874873E-1,7.705500126E-1
6.184650800E-2,1.374999993E-3,6.941000223E-1,7.907624841E-1
6.434898600E-2,4.537499975E-3,6.792500019E-1,8.087750077E-1
6.685144800E-2,5.637499969E-3,6.749874949E-1,8.237624764E-1
6.935390900E-2,-1.787499990E-3,6.738874912E-1,8.428750038E-1
7.185637100E-2,-1.773750037E-2,6.844750047E-1,8.588249683E-1
7.435883200E-2,-3.368749842E-2,6.994624734E-1,8.769749999E-1
7.686129400E-2,-5.609999970E-2,7.048249841E-1,8.896250129E-1
7.936375600E-2,-7.411249727E-2,7.048249841E-1,8.971874714E-1
8.186624600E-2,-9.019999951E-2,7.100499868E-1,8.949875236E-1
8.436870800E-2,-1.093124971E-1,7.324625254E-1,8.896250129E-1
8.687119700E-2,-1.315875053E-1,7.760499716E-1,8.790374994E-1
8.937365900E-2,-1.582625061E-1,8.388875127E-1,8.758749962E-1
9.187612000E-2,-1.912624985E-1,9.080500007E-1,8.727124929E-1
9.437856000E-2,-2.242625058E-1,9.792749882E-1,8.673499823E-1
9.688102100E-2,-2.624875009E-1,1.046375036E0,8.662499785E-1
9.938348200E-2,-3.029125035E-1,1.112375021E0,8.727124929E-1
1.018859370E-1,-3.466374874E-1,1.165587544E0,8.769749999E-1
1.043883990E-1,-3.933874965E-1,1.206012487E0,8.833000064E-1
1.068908790E-1,-4.380750060E-1,1.231587529E0,8.949875236E-1
1.093933410E-1,-4.764375091E-1,1.247537494E0,9.057124853E-1
1.118958030E-1,-5.126000047E-1,1.262387514E0,9.151999950E-1
1.143982650E-1,-5.455999970E-1,1.279437542E0,9.259250164E-1
1.169007360E-1,-5.754374862E-1,1.301712513E0,9.365124702E-1
1.194031970E-1,-5.902875066E-1,1.324125051E0,9.450374842E-1
1.219056580E-1,-6.010124683E-1,1.350800037E0,9.641500115E-1
1.244081190E-1,-5.956500173E-1,1.378437519E0,9.822999835E-1
1.269105800E-1,-5.817624927E-1,1.402912498E0,1.008837461E0
1.294130410E-1,-5.572875142E-1,1.418862462E0,1.040737510E0
1.319155030E-1,-5.105375051E-1,1.341174960E0,1.132312536E0
1.344179650E-1,-4.499000013E-1,1.291124940E0,1.237637520E0
1.369204270E-1,-3.796375096E-1,1.303912520E0,1.297312498E0
1.394228880E-1,-3.062124848E-1,1.319862485E0,1.326050043E0
1.419253500E-1,-2.305874974E-1,1.336912513E0,1.350525022E0
1.444278310E-1,-1.454750001E-1,1.367712498E0,1.372799993E0
1.469302920E-1,-5.389999971E-2,1.414600015E0,1.389850020E0
1.494327800E-1,3.973750025E-2,1.457087517E0,1.412262440E0
1.519352410E-1,1.322750002E-1,1.499712467E0,1.434537530E0
1.544377020E-1,2.205500007E-1,1.532712460E0,1.459012508E0
1.569401630E-1,3.025000095E-1,1.552924991E0,1.478262544E0
1.594426250E-1,3.727625012E-1,1.552924991E0,1.497375011E0
1.619450870E-1,4.302375019E-1,1.539037466E0,1.511124969E0
1.644475970E-1,4.706625044E-1,1.518824935E0,1.516487479E0
1.669500590E-1,4.984374940E-1,1.493387461E0,1.519649982E0
1.694525210E-1,5.121874809E-1,1.480599999E0,1.522949934E0
1.719549830E-1,5.196124911E-1,1.482662439E0,1.529274940E0
1.744574440E-1,5.175499916E-1,1.498612523E0,1.537799954E0
