"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.433910100E-2,-1.397480249E0,9.709558487E-1,-1.088809967E-2
5.684156300E-2,-1.212986231E0,9.757868052E-1,-4.361562729E-1
5.934404600E-2,-1.171047926E0,9.569047689E-1,-4.873256683E-1
6.184650800E-2,-1.150251627E0,8.644928932E-1,-5.336093903E-1
6.434896900E-2,-1.195251465E0,7.614428997E-1,-6.656093597E-1
6.685144800E-2,-1.394875050E0,7.168852091E-1,-9.623060226E-1
6.935390900E-2,-1.581141233E0,7.677683830E-1,-1.251569748E0
7.185637100E-2,-1.562091351E0,8.397684097E-1,-1.423620224E0
7.435883200E-2,-1.443709135E0,8.664405346E-1,-1.373497963E0
7.686129400E-2,-1.170709133E0,8.494904041E-1,-1.275398254E0
7.936375600E-2,-8.824787140E-1,7.559181452E-1,-1.241259575E0
8.186624600E-2,-7.168805599E-1,6.947950125E-1,-1.350853920E0
8.436870800E-2,-7.062721252E-1,6.799414158E-1,-1.548374653E0
8.687119700E-2,-7.579779625E-1,6.604447365E-1,-1.752743244E0
8.937365900E-2,-8.458919525E-1,6.564369202E-1,-1.910789490E0
9.187612000E-2,-9.048671722E-1,6.674215794E-1,-2.028154373E0
9.437856000E-2,-1.002657652E0,7.013541460E-1,-2.172092915E0
9.688102100E-2,-1.021230936E0,6.978757381E-1,-2.358830929E0
9.938348200E-2,-1.058664083E0,7.062978745E-1,-2.402728558E0
1.018859370E-1,-1.124327660E0,7.232725620E-1,-2.387664318E0
1.043883990E-1,-1.112848997E0,7.402693033E-1,-2.284518719E0
1.068908610E-1,-1.050488472E0,6.991549730E-1,-2.126222134E0
1.093933410E-1,-9.502363205E-1,7.253249884E-1,-1.938533306E0
1.118958030E-1,-9.352362156E-1,7.424248457E-1,-1.732433319E0
1.143982650E-1,-9.744327068E-1,7.314677238E-1,-1.475019932E0
1.169007360E-1,-1.077069759E0,6.901174784E-1,-1.148468018E0
1.194031970E-1,-1.056237459E0,6.540113688E-1,-6.988182068E-1
1.219056580E-1,-1.168287516E0,5.829113722E-1,-3.467683792E-1
1.244081190E-1,-1.267287493E0,5.199114084E-1,2.928161621E-2
1.269105800E-1,-1.437237501E0,4.389115572E-1,3.811817169E-1
1.294130410E-1,-2.620287657E0,-4.859886169E-1,1.011181831E0
1.319155030E-1,-2.076237440E0,-2.339885235E-1,1.171231270E0
1.344179650E-1,-1.051287413E0,3.979614973E-1,1.341181755E0
1.369204270E-1,-5.702373981E-1,8.220115900E-1,1.921231270E0
1.394228880E-1,-3.891928196E-1,1.017692447E0,2.317420006E0
1.419253500E-1,-6.233668327E-1,1.046638012E0,2.463882446E0
1.444278310E-1,-8.134658337E-1,9.158135653E-1,2.624974251E0
1.469302920E-1,-9.578342438E-1,7.546073198E-1,2.817785263E0
1.494327530E-1,-1.121326447E0,6.122490168E-1,2.799318314E0
1.519352410E-1,-1.158617973E0,4.661246538E-1,2.684654236E0
1.544377020E-1,-1.253717899E0,4.110745192E-1,2.464604378E0
1.569401630E-1,-1.205718040E0,3.941246271E-1,2.162654877E0
1.594426250E-1,-1.071617842E0,3.270746469E-1,1.659704208E0
1.619450870E-1,-9.255995750E-1,2.696297169E-1,1.069837570E0
1.644475490E-1,-8.968460560E-1,2.025437355E-1,5.613546371E-1
1.669500590E-1,-8.920679092E-1,1.492776871E-1,4.518508911E-2
1.694525210E-1,-8.521981239E-1,-1.353430748E-2,-2.670688629E-1
1.719549830E-1,-9.190981388E-1,-5.448424816E-2,-5.691690445E-1
1.744574440E-1,-9.211981297E-1,-5.943417549E-2,-8.061685562E-1
1.769599050E-1,-8.611981869E-1,-4.053425789E-2,-9.690685272E-1
1.794623660E-1,-7.572212219E-1,-7.361078262E-2,-1.054833412E0
1.819648310E-1,-5.774040222E-1,-1.542268991E-1,-1.091031551E0
1.844672920E-1,-3.249685764E-1,-1.662613153E-1,-1.196921349E0
1.869697540E-1,-1.582801342E-1,-2.340450287E-1,-1.199875355E0
1.894722210E-1,1.937794685E-2,-2.923667431E-1,-1.178212643E0
1.919746830E-1,1.192181110E-1,-3.432623148E-1,-1.214282990E0
1.944771450E-1,1.580073833E-1,-3.334240913E-1,-1.201752186E0
1.969796170E-1,1.709425449E-1,-3.491009474E-1,-1.156828880E0
1.994820790E-1,2.477519512E-1,-3.999589682E-1,-1.095412731E0
2.019844630E-1,2.604813576E-1,-4.382362366E-1,-1.086719513E0
2.044869130E-1,2.106521130E-1,-4.241782427E-1,-1.064649105E0
2.069894510E-1,2.331600189E-1,-4.418056011E-1,-9.611172676E-1
2.094918380E-1,2.648940086E-1,-3.630555868E-1,-8.224630356E-1
2.119943650E-1,2.578787804E-1,-3.149321079E-1,-7.144804001E-1
2.144967520E-1,3.046386242E-1,-3.336650133E-1,-5.854825974E-1
2.169992890E-1,3.246068954E-1,-2.531566620E-1,-5.105018616E-1
2.195016460E-1,7.628254890E-1,1.709485054E-2,-6.040639877E-1
2.220041830E-1,2.718756199E-1,-6.195521355E-2,-5.010137558E-1
2.245065690E-1,-4.091246128E-1,-2.079050541E-1,-2.470636368E-1
2.270091060E-1,-6.191246510E-1,-1.978552341E-1,-3.196334839E-2
2.295115690E-1,-6.101243496E-1,-1.069550514E-1,-4.396343231E-2
2.320140310E-1,-5.162246227E-1,-8.085513115E-2,-1.201343536E-2
2.345164920E-1,-3.201744556E-1,-3.795504570E-2,2.803611755E-2
2.370188770E-1,-1.331245899E-1,-3.090524673E-2,-2.401351929E-2
2.395214130E-1,1.238155365E-1,-1.634137630E-1,9.592247009E-2
2.420238100E-1,5.857038498E-2,-1.889698505E-1,3.567695618E-3
2.445263460E-1,-3.712511063E-2,-2.429790497E-1,-5.444526672E-2
2.470288100E-1,6.512665749E-2,-2.785689831E-1,-1.709232330E-1
2.495312580E-1,4.107761383E-2,-3.057026863E-1,-2.631826401E-1
2.520337190E-1,-3.721666336E-2,-3.615748882E-1,-3.281793594E-1
2.545361810E-1,-6.161212921E-2,-3.997914791E-1,-3.066654205E-1
2.570386420E-1,-8.392858505E-2,-4.384436607E-1,-3.028087616E-1
2.595411030E-1,4.789686203E-2,-3.611018658E-1,-4.332447052E-1
2.620435590E-1,1.203236580E-1,-3.943362236E-1,-6.457538605E-1
2.645460200E-1,6.309604645E-2,-4.625253677E-1,-6.966719627E-1
2.670484810E-1,8.004617691E-2,-5.606253147E-1,-7.107715607E-1
2.695508680E-1,1.586732864E-1,-7.311232090E-1,-6.272149086E-1
2.720534040E-1,3.386733532E-1,-7.930731773E-1,-6.582646370E-1
2.745558680E-1,5.776233673E-1,-8.340232372E-1,-7.133145332E-1
2.770583300E-1,6.907234192E-1,-9.111232758E-1,-7.562146187E-1
2.795607140E-1,4.726233482E-1,-1.033073187E0,-6.342644691E-1
2.820631740E-1,1.636233330E-1,-1.076123238E0,-4.442148209E-1
2.845656350E-1,1.207876205E-1,-1.028860211E0,-3.323020935E-1
2.870681020E-1,7.312965393E-2,-9.828641415E-1,-2.534837723E-1
2.895705630E-1,5.247783661E-2,-9.453325272E-1,-2.448568344E-1
2.920730390E-1,1.861572266E-1,-9.155635834E-1,-2.075233459E-1
2.945755000E-1,2.229571342E-1,-8.540872335E-1,-1.658239365E-1
2.970779620E-1,1.678347588E-1,-9.157478809E-1,-8.205986023E-2
2.995804530E-1,2.271494865E-1,-9.481678009E-1,2.476978302E-2
3.020829150E-1,1.811752319E-1,-9.335563183E-1,9.052181244E-2
3.045853770E-1,1.298680305E-1,-9.437000751E-1,1.541547775E-1
3.070878390E-1,1.868448257E-1,-9.119901657E-1,2.749938965E-1
3.095903010E-1,3.447947502E-1,-8.858901262E-1,2.940444946E-1
3.120927620E-1,3.708946705E-1,-8.909901381E-1,2.340440750E-1
3.145952230E-1,3.498947620E-1,-9.338901043E-1,1.980447769E-1
3.170976840E-1,3.327946663E-1,-9.548901320E-1,1.089439392E-1
3.196001450E-1,3.447947502E-1,-1.053890109E0,-1.006126404E-3
3.221026060E-1,4.647946358E-1,-1.084940195E0,-2.039556503E-1
3.246050680E-1,5.478947163E-1,-1.122890115E0,-3.410558701E-1
3.271076060E-1,5.709552765E-1,-1.139894962E0,-4.481482506E-1
3.296099930E-1,5.924160480E-1,-1.203774452E0,-5.189371109E-1
3.321124580E-1,6.970922947E-1,-1.217172861E0,-5.978817940E-1
3.346149190E-1,7.381231785E-1,-1.252280951E0,-5.926885605E-1
3.371173810E-1,8.104407787E-1,-1.276663780E0,-6.185030937E-1
3.396198130E-1,7.820904255E-1,-1.264734864E0,-6.412291527E-1
3.421222650E-1,7.302153111E-1,-1.277108312E0,-6.479148865E-1
3.446248030E-1,5.836977959E-1,-1.269018769E0,-6.735591888E-1
3.471271900E-1,4.918701649E-1,-1.216728806E0,-6.023426056E-1
3.496297260E-1,5.977456570E-1,-1.155560851E0,-5.978302956E-1
3.521321180E-1,5.634560585E-1,-1.048387289E0,-6.667222977E-1
3.546346540E-1,3.903560638E-1,-1.029337287E0,-5.417723656E-1
3.571370410E-1,2.798929214E-1,-9.784967899E-1,-3.244609833E-1
3.596395110E-1,2.742433548E-2,-8.750902414E-1,5.980300903E-2
3.621419720E-1,6.151199341E-3,-7.514562607E-1,3.972702026E-1
3.646444340E-1,8.217048645E-2,-6.352661848E-1,5.503187180E-1
3.671468950E-1,4.917049408E-2,-5.872660875E-1,5.453691483E-1
3.696493570E-1,-2.282953262E-2,-5.823161602E-1,5.483684540E-1
3.721518190E-1,7.317018509E-2,-6.183161736E-1,5.074186325E-1
3.746542810E-1,1.091704369E-1,-6.663161516E-1,5.003690720E-1
3.771567430E-1,9.912014008E-2,-7.173161507E-1,5.524187088E-1
