"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.825745900E-2,-1.860000038E1,-3.425625229E1,-1.044375038E1
5.826158500E-2,-1.764375114E1,-3.313125229E1,-1.258125019E1
7.827207900E-2,-1.822500038E1,-3.324375153E1,-1.338750076E1
9.829560900E-2,-1.880625153E1,-3.354375076E1,-1.387500095E1
1.183259550E-1,-1.927500153E1,-3.438750076E1,-1.498125076E1
1.383549490E-1,-1.959375000E1,-3.163125038E1,-1.541250038E1
1.583849280E-1,-1.946250153E1,-3.136875153E1,-1.633125114E1
1.784026780E-1,-2.053125000E1,-3.110625076E1,-1.603125000E1
1.984092440E-1,-2.120625114E1,-3.084375191E1,-1.614375114E1
2.184174210E-1,-2.227500153E1,-3.144375038E1,-1.713750076E1
2.384181640E-1,-2.188125038E1,-2.857500076E1,-1.777500153E1
2.584124010E-1,-2.156250000E1,-2.838750076E1,-1.908750153E1
2.784134120E-1,-2.261250114E1,-2.778750038E1,-1.940625000E1
2.984089820E-1,-2.338125038E1,-2.668125153E1,-1.901250076E1
3.184108630E-1,-2.430000114E1,-2.598750114E1,-2.034375000E1
3.384087940E-1,-2.377500153E1,-2.476875114E1,-2.036250114E1
3.584021590E-1,-2.409375191E1,-2.358750153E1,-2.199375153E1
3.784041690E-1,-2.400000000E1,-2.321250153E1,-2.178750038E1
3.984013990E-1,-2.518125153E1,-2.325000000E1,-2.128125000E1
4.183940740E-1,-2.418750191E1,-2.323125076E1,-2.188125038E1
4.383965540E-1,-2.375625038E1,-2.266875076E1,-2.360625076E1
4.583945670E-1,-2.328750038E1,-2.338125038E1,-2.330625153E1
4.783893780E-1,-2.321250153E1,-2.403750038E1,-2.268750000E1
4.983927700E-1,-2.289375114E1,-2.540625191E1,-2.176875114E1
5.183906320E-1,-2.251875114E1,-2.593125153E1,-2.154375076E1
5.383974620E-1,-2.218125153E1,-2.520000076E1,-2.216250038E1
5.583972140E-1,-2.195625114E1,-2.473125076E1,-2.347500038E1
5.783940770E-1,-1.993125153E1,-2.443125153E1,-2.568750191E1
5.983989710E-1,-1.871250153E1,-2.366250038E1,-2.720625114E1
6.183983580E-1,-1.672500038E1,-2.409375191E1,-2.911875153E1
6.383940840E-1,-1.496250057E1,-2.413125038E1,-2.951250076E1
6.583978870E-1,-1.314375019E1,-2.336250114E1,-3.121875191E1
6.783968320E-1,-1.055625057E1,-2.295000076E1,-3.283125305E1
6.983918540E-1,-8.756250381E0,-2.255625153E1,-3.455625153E1
7.183839550E-1,-6.787500381E0,-2.176875114E1,-3.485625076E1
7.383850840E-1,-4.143750191E0,-2.006250000E1,-3.678750229E1
7.583825780E-1,-2.043750048E0,-1.891875076E1,-3.781875229E1
7.783875320E-1,-4.312500060E-1,-1.805625153E1,-3.892500305E1
7.983880760E-1,1.068750024E0,-1.663125038E1,-3.943125153E1
8.183956020E-1,2.231250048E0,-1.633125114E1,-3.965625000E1
8.383972030E-1,4.481250286E0,-1.445625019E1,-4.147500229E1
8.583942720E-1,5.775000095E0,-1.340625095E1,-4.108125305E1
8.783877010E-1,7.068750381E0,-1.235625076E1,-4.141875076E1
8.983899500E-1,7.481250286E0,-1.115625000E1,-4.121250153E1
9.183874020E-1,9.525000572E0,-8.906250000E0,-4.265625000E1
9.383929580E-1,1.003125000E1,-7.593750477E0,-4.166250229E1
9.583934560E-1,1.260000038E1,-6.431250095E0,-4.168125153E1
9.784007160E-1,1.400625038E1,-5.212500095E0,-4.239375305E1
9.984023710E-1,1.455000019E1,-6.018750191E0,-4.117500305E1
1.018399003E0,1.509375095E1,-6.375000477E0,-4.016250229E1
1.038403507E0,1.674375153E1,-6.412500381E0,-4.006875229E1
1.058402886E0,1.696875000E1,-8.250000000E0,-3.903750229E1
1.078398045E0,1.756875038E1,-8.231250763E0,-3.922500229E1
1.098401293E0,1.785000038E1,-8.418750763E0,-3.913125229E1
1.118400079E0,1.726875114E1,-8.606250763E0,-3.913125229E1
1.138394578E0,1.779375076E1,-7.406250477E0,-4.025625229E1
1.158398094E0,1.674375153E1,-6.975000381E0,-4.006875229E1
1.178396401E0,1.768125153E1,-6.956250191E0,-3.905625153E1
1.198389804E0,1.760625076E1,-6.675000191E0,-3.916875076E1
1.218391623E0,1.869375038E1,-6.375000477E0,-3.935625076E1
1.238390511E0,1.886250114E1,-6.468750477E0,-3.896250153E1
1.258396349E0,1.963125038E1,-6.525000095E0,-3.845625305E1
1.278396202E0,2.008125114E1,-6.975000381E0,-3.763125229E1
1.298392197E0,2.047500038E1,-7.331250191E0,-3.733125305E1
1.318395998E0,2.066250038E1,-7.875000477E0,-3.781875229E1
1.338395145E0,2.045625114E1,-7.612500191E0,-3.691875076E1
1.358391156E0,2.101875114E1,-8.700000763E0,-3.701250076E1
1.378394980E0,2.030625153E1,-8.625000000E0,-3.620625305E1
1.398393935E0,1.955625153E1,-8.550000191E0,-3.751875305E1
1.418388431E0,1.865625000E1,-9.112500191E0,-3.680625153E1
1.438391518E0,1.837500000E1,-9.131250381E0,-3.731250000E1
1.458391356E0,1.786875153E1,-9.881250381E0,-3.740625000E1
1.478386162E0,1.670625114E1,-1.192500019E1,-3.626250076E1
1.498390573E0,1.657500076E1,-1.275000095E1,-3.564375305E1
1.518391101E0,1.580625057E1,-1.323750019E1,-3.654375076E1
1.538385053E0,1.346250057E1,-1.357500076E1,-3.645000076E1
1.558387638E0,1.194375038E1,-1.231875038E1,-3.706875229E1
1.578385837E0,1.117500019E1,-1.224375057E1,-3.716250229E1
1.598391994E0,1.087500000E1,-1.261875057E1,-3.716250229E1
1.618392750E0,1.098750019E1,-1.216875076E1,-3.727500153E1
1.638390480E0,1.153125000E1,-1.260000038E1,-3.686250305E1
1.658395837E0,1.230000019E1,-1.276875019E1,-3.616875076E1
1.678396147E0,1.280625057E1,-1.192500019E1,-3.607500076E1
1.698391806E0,1.406250095E1,-9.506250381E0,-3.680625153E1
1.718394655E0,1.473750019E1,-9.037500381E0,-3.601875305E1
1.738394052E0,1.700625038E1,-7.593750477E0,-3.571875000E1
1.758389213E0,1.715625000E1,-6.300000191E0,-3.675000000E1
1.778392710E0,1.681875038E1,-5.493750095E0,-3.736875153E1
1.798391499E0,1.670625114E1,-4.462500095E0,-3.607500076E1
1.818396772E0,1.678125000E1,-2.456250191E0,-3.710625076E1
1.838397462E0,1.657500076E1,-2.831250191E0,-3.729375076E1
1.858394139E0,1.721250153E1,-3.918750048E0,-3.658125305E1
1.878398406E0,1.730625153E1,-4.181250095E0,-3.616875076E1
1.898398014E0,1.751250076E1,-6.468750477E0,-3.534375000E1
1.918392269E0,1.781250000E1,-6.656250477E0,-3.573750305E1
1.938396275E0,1.683750153E1,-6.768750191E0,-3.562500000E1
1.958394884E0,1.558125019E1,-6.525000095E0,-3.613125229E1
1.978389957E0,1.406250095E1,-5.925000191E0,-3.686250305E1
1.998393424E0,1.166250038E1,-4.518750191E0,-3.729375076E1
